"Word","Length","Log_Freq_HAL","predicted_gaze_duration_default"
"accelerometer",13,4.248,301.428417415299
"accelerometers",14,4.143,307.628244862751
"accent",6,8.559,238.645110910873
"accented",8,7.075,256.757049107367
"accenting",9,3.989,282.698436309002
"accents",7,7.493,249.585712161692
"accentual",9,0,312.915615103858
"accentuate",10,5.081,279.853636608225
"accentuated",11,5.263,283.530506089408
"accentuates",11,4.043,292.474869045867
"accept",6,10.808,225.365162431417
"acceptable",10,9.703,248.787438040503
"acceptance",10,9.08,252.764781144729
"accepted",8,10.431,235.73128497791
"accepting",9,8.942,249.207577430305
"accepts",7,8.431,243.69625324282
"access",6,12.057,218.311888164534
"accesses",8,7.77,252.254082640677
"accessible",10,9.283,251.461857949927
"accessions",10,3.871,288.608523686046
"accessories",11,8.655,260.073805135614
"accessors",9,5.153,274.444037888329
"accessory",9,7.202,260.494953316488
"accident",8,9.319,242.50008687885
"accidental",10,7.76,261.403236246853
"accidentally",12,8.397,266.458911601399
"accidents",9,8.334,253.09496861726
"acclaim",7,6.79,254.092790492879
"acclaimed",9,6.956,262.131479720986
"acclaims",8,1.946,292.570449126275
"acclamation",11,3.258,298.378687779612
"acclimate",9,4.575,278.512298812145
"acclimatized",12,2.833,307.006697494704
"accolade",8,6.555,260.17866692132
"accolades",9,5.425,272.550177936693
"accommodate",11,7.805,265.763001431488
"accommodated",12,5.707,285.346049583754
"accommodates",12,4.913,291.172674879938
"accommodating",13,6.103,287.524357174348
"accommodation",13,7.604,276.744527222125
"accommodations",14,7.268,284.102512982129
"accompanied",11,8.399,261.774320317727
"accompanies",11,6.582,274.167802486344
"accompaniment",13,6.567,284.147925046126
"accompaniments",14,3.584,312.037445760015
"accompanist",11,5.05,285.072154660319
"accompanists",12,4.29,295.827627074044
"accompany",9,7.668,257.42282325164
"accompanying",12,8.003,269.145086886328
"accomplice",10,5.638,275.91325262454
"accomplices",11,5.394,282.586499443629
"accomplish",10,8.961,253.531700142618
"accomplished",12,8.851,263.39690107739
"accomplishes",12,6.384,280.470188955549
"accomplishing",13,6.557,284.220273245289
"accomplishment",14,7.171,284.804956011006
"accomplishments",15,7.596,286.767337812322
"accord",6,8.167,241.03862181953
"accordance",10,8.488,256.60311737492
"accorded",8,6.333,261.653288029738
"according",9,11.078,236.017851894545
"accordingly",11,8.539,260.842978047838
"accordion",9,6.38,266.003679353815
"accords",7,6.881,253.504815681888
"accost",6,3.434,271.904502188732
"accosted",8,5.124,269.831929393604
"accosting",9,3.178,288.59587293595
"account",7,11.018,228.163432937846
"accountability",14,7.298,283.885613533247
"accountable",11,7.757,266.087960821213
"accountant",10,7.331,264.273818223857
"accountants",11,7.317,269.085331989612
"accounted",9,7.315,259.746643958785
"accounting",10,9.665,249.028234493725
"accounts",8,9.799,239.554781947403
"accredit",8,3.555,280.828235567667
"accreditation",13,6.33,285.867541635579
"accredited",10,6.956,266.80887726146
"accrue",6,6.415,252.032984599002
"accrued",7,5.438,262.990793055604
"accrues",7,4.143,271.805683710543
"accruing",8,5.043,270.388928079675
"acculturated",12,3.178,304.322038855989
"acculturation",13,3.555,306.793569575509
"accumulate",10,7.238,264.900257910622
"accumulated",11,7.667,266.698331017728
"accumulates",11,5.517,281.703003244133
"accumulating",12,6.315,280.963300592558
"accumulation",12,7.095,275.43912714215
"accuracy",8,9.262,242.852238629788
"accurate",8,9.975,238.483822887235
"accurately",10,8.593,255.918104315835
"accurst",7,1.386,291.568716517539
"accusation",10,7.685,261.902827534795
"accusations",11,8.154,263.412178093371
"accusative",10,4.635,283.049304717416
"accuse",6,8.242,240.578829931631
"accused",7,9.115,239.489402357795
"accuses",7,6.696,254.701581042934
"accusing",8,7.739,252.453241319249
"accusingly",10,3.664,290.133462042386
"accustom",8,4.317,275.432905333168
"accustomed",10,7.433,263.588458605287
"ace",3,8.849,224.648181639693
"acerbic",7,4.331,270.507890633357
"aces",4,7.516,236.549554763363
"acetate",7,6.304,257.25613164886
"acetone",7,6.047,258.944815416876
"acetylene",9,4.407,279.706041374082
"ache",4,6.741,241.263051117897
"ached",5,5.69,252.227333658302
"aches",5,6.038,250.0026054596
"achieve",7,9.651,236.243620655125
"achieved",8,9.025,244.321940505196
"achievement",11,8.275,262.602000113807
"achievements",12,7.643,271.623128389394
"achieves",8,6.636,259.642701278614
"achieving",9,8.065,254.834177218639
"Achilles",8,6.534,260.317801484648
"aching",6,7.002,248.294613281625
"acid",4,9.519,224.789613756177
"acidic",6,6.696,250.236435201638
"acidity",7,5.545,262.27537335576
"acids",5,7.752,239.328230417165
"acknowledge",11,8.822,258.970442793615
"acknowledged",12,8.278,267.267380251732
"acknowledgement",15,7.508,287.410509444306
