"Word","Length","Log_Freq_HAL","predicted_gaze_duration_default"
"bellflower",10,4.419,284.610073001687
"bellhop",7,3.555,275.905066174571
"bellhops",8,2.303,289.923445343036
"bellicose",9,3.829,283.85230436829
"bellies",7,5.903,259.895844869403
"belligerence",12,3.871,299.000108391713
"belligerency",12,2.565,309.108505260424
"belligerent",11,6.068,277.779007188314
"belligerently",13,2.639,314.031982162871
"bellman",7,4.159,271.694991254872
"bellow",6,5.67,256.858754529586
"bellowed",8,4.836,271.817598453967
"bellowing",9,4.89,276.287746249873
"bellows",7,6.575,255.487384701062
"bellow's",8,0,307.429925334142
"bells",5,7.972,237.991545856642
"belly",5,8.697,233.639176707902
"belong",6,9.603,232.385860085623
"belonged",8,7.601,253.341728371533
"belonging",9,7.754,256.859836575321
"belongings",10,6.422,270.460827732978
"belongs",7,9.017,240.087651664182
"beloved",7,8.24,244.884116593691
"below",5,11.415,218.019065734173
"belowground",11,0,324.182396412142
"belt",4,9.289,226.109705554053
"belted",6,5.293,259.335888341319
"belting",7,4.844,266.998009684342
"belts",5,7.756,239.303860179648
"beltway",7,5.976,259.413290052604
"bemoan",6,5.011,261.204416136493
"bemoans",7,3.091,279.183551243994
"bemuse",6,1.946,282.402323700422
"Ben",3,10.006,218.127637874907
"bench",5,8.587,234.294377701987
"benched",7,4.673,268.162880459846
"benches",7,6.319,257.157911174483
"benchmarks",10,8.226,258.320394407123
"bend",4,8.838,228.720780243938
"bended",6,4.812,262.531083720272
"bending",7,7.708,248.223332610024
"bends",5,7.034,243.743137904981
"beneath",7,8.663,242.261150866206
"Benedict",8,6.825,258.396404509573
"Benedictine",11,5.017,285.311750423659
"benediction",11,4.99,285.50793309565
"benefaction",11,2.197,306.548079855961
"benefactor",10,5.347,277.964902259458
"benefactor's",12,1.386,318.52711368623
"benefice",8,2.485,288.583222740382
"beneficence",11,3.135,299.314483399922
"beneficent",10,5.182,279.134978954184
"beneficial",10,8.371,257.368577727495
"beneficiaries",13,6.531,284.408464784655
"beneficiary",11,6.323,275.981549683439
"beneficient",11,4.263,290.841352426816
"benefit",7,10.334,232.171332787841
"benefited",9,6.791,263.234906566903
"benefits",8,10.556,234.982315101646
"benevolence",11,5.935,278.721145080836
"benevolent",10,7.022,266.360950143924
"Bengal",6,6.777,249.720950464136
"benign",6,7.044,248.029267383379
"Benjamin",8,9.064,244.079480869475
"Ben's",5,6.211,248.903947346712
"bent",4,9.045,227.518626282686
"benzene",7,5.46,262.843538220177
"Beowulf",7,5.352,263.567217593043
"bequeath",8,3.219,283.240732640691
"bequeathed",10,4.564,283.561388420298
"bequest",7,4.564,268.908051252941
"bequests",8,3.091,284.165220966834
"berate",6,5.323,259.137897092787
"berated",7,5.075,265.432442991229
"bereave",7,1.099,293.706867304465
"bereavement",11,5.118,284.579076459816
"bereavements",12,1.792,315.251762404276
"bereft",6,5.666,256.884912523241
"beret",5,6.078,249.74815023579
"berg",4,7.534,236.441181265707
"Berkeley",8,9.387,242.08064392553
"Berlin",6,8.893,236.624503890519
"Berliners",9,3.045,289.574698190855
"Berlin's",8,4.078,277.113889345061
"Bermuda",7,6.924,253.227454976778
"Bern",4,6.64,241.88420414921
"Bernard",7,8.651,242.335172610589
"berries",7,6.417,256.517126273945
"berry",5,7.971,237.997604773759
"berserk",7,8.424,243.73968561432
"Bert",4,7.779,234.971025139967
"berth",5,5.974,250.410273169673
"Bertha",6,6.05,254.385852521889
"beseech",7,4.615,268.559135941297
"beset",5,5.529,253.263277754138
"besets",6,1.946,282.402323700422
"besetting",9,2.833,291.141798976298
"beside",6,8.839,236.950025621091
"besides",7,10.42,231.663571411706
"besiege",7,3.401,276.988893178528
"besieged",8,5.568,266.79907149833
"besiegers",9,1.946,297.790990743845
"besieging",9,3.434,286.721121956453
"besmear",7,0,302.040404597855
"besmirch",8,3.738,279.522940941304
"besmirched",10,3.664,290.133462042386
"besmirching",11,3.178,298.987002141067
"best",4,12.505,208.334858987671
"bested",6,4.304,265.948388702177
"bestial",7,5.136,265.020559279939
"bestiality",10,6.531,269.711354042756
"bestow",6,5.727,256.486292407508
"bestowal",8,2.708,286.949525052521
"bestowed",8,6.286,261.966553017503
"bestseller",10,5.631,275.962426818768
"bestselling",11,4.771,287.104185198834
"bestubbled",10,0,318.49918991914
"bet",3,10.306,216.46804139221
"beta",4,10.828,217.421988165828
"Beth",4,8.544,230.439112753717
"Bethlehem",9,6.739,263.58361485765
"betide",6,3.219,273.396856392075
"betray",6,6.648,250.542409618062
"betrayal",8,7.27,255.485575378668
"betrayed",8,7.357,254.920335586362
"betrayer",8,5.677,266.059744896619
"betraying",9,5.841,269.678934204019
"betrays",7,5.591,261.96840823751
"betroth",7,1.609,289.918117659075
"betrothal",9,3.871,283.548958904302
"betrothed",9,4.595,278.3705263871
"bets",4,8.085,233.147662020136
"better",6,12.559,215.539609612507
"bettering",9,5.05,275.164628344313
"betterment",10,6.04,273.103900779265
"betters",7,5.318,263.795454689675
"betting",7,7.814,247.554387373715
"Betty",5,8.107,237.17500642685
"Betty's",7,5.529,262.382228123323
"between",7,12.35,220.556046259989
"betwixt",7,5.242,264.306346644123
"bevel",5,5.17,255.588587189651
"beveled",7,4.477,269.504306277829
"beveling",8,3.219,283.240732640691
"bevels",6,3.401,272.13303088118
"beverage",8,7.262,255.537614331852
"beverages",9,6.918,262.3851916089
"bewail",6,3.045,274.610616827857
"beware",6,8.632,238.202012838899
"bewilder",8,3.091,284.165220966834
"bewildered",10,6.292,271.357419074178
"bewilderedly",12,0,329.967012381415
"bewilderingly",13,1.946,319.62146633269
"bewilderment",12,5.389,287.665505301234
"bewilders",9,2.485,293.73261745522
"bewitch",7,2.565,282.947247725408
"bewitched",9,5.043,275.213669116186
"bewitching",10,5.056,280.031807653874
"beyond",6,10.687,226.060457562008
"Bhutan",6,5.663,256.904532766638
"bias",4,9.124,227.061500887815
"biases",6,7.368,245.991821911231
"bib",3,6.661,237.51674260548
"Bible",5,10.108,225.395447447241
"Bibles",6,6.439,251.879040194501
"biblical",8,8.339,248.626338195996
"biblically",10,5.13,279.504750131831
"bibliographer",13,3.761,305.188835337292
"bibliographical",15,5.746,300.596524532732
"bibliographies",14,6.974,286.236917139226
"bibliography",12,8.543,265.470348959297
"bibliophile",11,4.304,290.537934434788
"bibliophiles",12,3.367,302.861279235532
"bicameral",9,4.248,280.840545819341
"bicarbonate",11,5.242,283.682128409646
"bicentennial",12,5.17,289.273820218693
"bicep",5,5.043,256.416291848966
"biceps",6,5.9,255.359141170504
"bicker",6,5.037,261.031578590328
"bickering",9,6.832,262.960288786055
"bicycle",7,8.525,243.113767749599
"bicycles",8,7.253,255.596170824163
"bicyclist",9,5.05,275.164628344313
"bid",3,11.712,208.856762714489
"bidder",6,10.288,228.368442992167
"bidders",7,8.858,241.06146154947
"bidding",7,9.449,237.46164672577
"bide",4,5.497,249.026136389365
"bidet",5,3.689,265.409173783058
"bids",4,10.895,217.051447495022
"biennial",8,5.609,266.520735429977
"bifocal",7,3.989,272.873407271835
"bifocals",8,4.625,273.281645215383
"bifurcate",9,2.398,294.383916471055
"big",3,12.093,206.840732963904
"bigamist",8,3.497,281.243206228405
"bigamy",6,4.804,262.58455774813
"bigger",6,9.859,230.876255619057
"biggest",7,9.795,235.37914111207
"bighead",7,2.639,282.414702953068
"bigness",7,4.007,272.74839225926
"bigot",5,7.628,240.084940016133
"bigoted",7,7.143,251.819551928236
"bigots",6,7.345,246.135901882402
"bigwig",6,3.97,268.219401097039
"bijou",5,4.7,258.665166425684
"bike",4,10.022,221.929426470278
"bikini",6,7.238,246.80729725892
"bikinis",7,5.565,262.141866089227
"bilabial",8,2.773,286.475078234674
"bilateral",9,7.288,259.92524785637
"bile",4,7.388,237.321644638623
"bilge",5,5.778,251.662895474975
"bilinear",8,4.615,273.351226701478
"bilingual",9,7.35,259.515303032144
"bilk",4,4.682,254.247016862334
"bilked",6,3.555,271.068204331086
"bill",4,11.669,212.816385088151
"billboard",9,7.014,261.744708161955
"billboards",10,6.031,273.166482589414
"billed",6,7.58,244.667745537846
"billfold",8,3.829,278.87612035246
"billhook",8,1.609,295.091331848843
"billiard",8,5.565,266.819448961021
"billiards",9,5.756,270.26313733803
"billing",7,8.374,244.05014203264
"billion",7,9.938,234.523795415607
"billions",8,8.326,248.70863639054
"billionth",9,4.454,279.371563141577
"billow",6,3.178,273.682373411925
"billowed",8,3.555,280.828235567667
"billows",7,4.078,272.25583575345
"bills",5,9.252,230.3612285874
"Bill's",6,7.508,245.116630710219
"Billy",5,9.281,230.191218367125
"bimetallic",10,2.639,297.804044566709
"bimolecular",11,1.609,311.17144830723
"bimonthly",9,6.697,263.865601059461
"bin",3,9.67,220.00149606034
"binary",6,9.971,230.218891133632
"bind",4,8.825,228.796489468493
"binder",6,7.53,244.979384045817
"binders",7,5.817,260.465485883906
"bindery",7,6.428,256.445301181113
"binding",7,9.039,239.953220845434
"binds",5,6.709,245.768215225882
"bing",4,6.488,242.822024395434
"binge",5,5.673,252.336518665286
"bingo",5,7.292,242.147425698513
"binocular",9,5.624,271.172880129143
"binoculars",10,6.865,267.42770928939
"binomial",8,5.136,269.749508711997
"bins",4,6.574,242.290969834208
"biochemical",11,6.676,273.512483557425
"biochemistry",12,7.712,271.146409454191
"biodegradable",13,5.247,293.858926245566
"biographer",10,5.375,277.766831134894
"biographers",11,4.443,289.51162715904
"biographical",12,6.933,276.5774474258
"biography",9,8.002,255.243225430103
"biologic",8,5.283,268.741896177507
"biological",10,9.262,251.596331064935
"biologically",12,6.75,277.86898741419
"biologist",9,7.349,259.521909912679
"biologists",10,6.999,266.516960525568
"biology",7,9.277,238.503726747001
"bionic",6,6.213,253.332417553224
"biophysical",11,4.89,286.235711339831
"biophysicist",12,4.489,294.332699625212
"biopsies",8,4.533,273.922463560834
"bioscope",8,1.099,298.947686835994
"biosphere",9,6.109,267.845230929877
"biosynthesized",14,1.792,326.602658596789
"biotechnology",13,7.233,279.370761550183
"biotic",6,4.159,266.931935778988
"bipartisan",10,6.498,269.938039450984
"biped",5,4.248,261.658847073595
"biplane",7,4.977,266.095498530843
"biracial",8,4.727,272.572924974438
"birch",5,7.225,242.560809117917
"birches",7,4.382,270.156899487785
"bird",4,9.856,222.869298950655
"birdbath",8,3.219,283.240732640691
"birdie",6,6.404,252.103573892049
"birdies",7,4.963,266.190355864681
"birdlike",8,2.944,285.230661237163
"birds",5,9.581,228.439837661444
"bird's",6,6.387,252.212705325493
"birdseed",8,4.673,272.947900552986
"birth",5,10.059,225.676793017998
"birthcontrol",12,3.178,304.322038855989
"birthday",8,9.055,244.13541172835
"birthed",7,4.094,272.144959974037
"birthmark",9,4.477,279.208028092624
"birthplace",10,6.5,269.924295519479
"birthrate",9,4.787,277.013177614987
"birthright",10,6.219,271.862192093409
"births",6,6.957,248.579227476829
"biscuit",7,6.395,256.660836815468
"biscuits",8,6.537,260.297920564018
"bisect",6,3.401,272.13303088118
"bisexual",8,8.172,249.685628730603
"bisexuality",11,6.168,277.072730821974
"bishop",6,8.613,238.317260473664
"bishopry",8,0,307.429925334142
"bishops",7,6.775,254.189840256209
"Bismarck",8,6.014,263.786870902393
"bison",5,6.987,244.034959925215
"bisque",6,4.7,263.280712084426
"bistro",6,5.273,259.46796654036
"bit",3,11.978,207.447186814415
"bitch",5,9.149,230.966073582489
"bite",4,9.007,227.738837072597
"biter",5,4.691,258.724439597144
"bites",5,7.968,238.015782450632
"biting",6,7.782,243.412756798316
"bits",4,10.079,221.607614175867
"bitten",6,7.188,247.121660959395
"bitter",6,8.684,237.886883172002
"bitterest",9,3.584,285.628298680031
"bitterly",8,6.544,260.251537653668
"bitterness",10,7.098,265.846086735853
"bitters",7,4.868,266.834924484724
"bittersweet",11,5.753,280.015566755554
"bivalve",7,1.946,287.441428258586
"bivouac",7,3.738,274.622654526982
"biweekly",8,6.277,262.026582702321
"biz",3,8.29,227.868038660613
"bizarre",7,8.69,242.094684598943
"blab",4,4.691,254.188769458079
"blabbed",7,3.497,276.312762029584
"blabbermouth",12,2.708,307.985233977908
"black",5,11.988,214.861784614647
"blackball",9,3.871,283.548958904302
"blackberry",10,4.868,281.375292831013
"blackbird",9,6.332,266.328933030369
"blackbirds",10,4.605,283.265565194428
"blackboard",10,6.136,272.43725291445
"blacked",7,6.109,258.536416895702
"blacken",7,4.454,269.662157755888
"blackened",9,6.532,264.976327585832
"blackening",10,4.394,284.791272270432
"blackest",8,4.71,272.69091724865
"Blackfeet",9,2.708,292.069768543114
"blackhead",9,2.197,295.894169543629
"blacking",8,4.575,273.629729855569
"blackjack",9,7.956,255.542310222059
"blacklist",9,6.184,267.334304243255
"blackmail",9,6.832,262.960288786055
"blackmailed",11,4.868,286.396071350399
"blackmailer",11,3.045,300.001070795642
"blackness",9,6.188,267.307082212325
"blackout",8,6.51,260.476903523864
"blacks",6,9.282,234.292718465212
"black's",7,6.488,256.053881822341
"blacksmith",10,8.466,256.746876091892
"bladder",7,7.408,250.126387523227
"blade",5,9.169,230.848503836037
"blades",6,8.371,239.790038595309
"blah",4,9.458,225.138972238496
"blame",5,9.76,227.401200974782
"blamed",6,7.933,242.478828041989
"blameless",9,5.545,271.718811559274
"blameworthy",11,3.434,297.044749227266
"blaming",7,7.772,247.819225237308
"blanch",6,4.522,264.476492365718
"bland",5,7.425,241.328914906083
"blandly",7,4.248,271.080086746718
"blandness",9,4.007,282.568920029187
"blank",5,9.632,228.143430927699
"blanket",7,8.246,244.846713575155
"blanketed",9,4.7,277.627404293376
"blankets",8,6.94,257.641005041981
"blanks",6,7.834,243.090733570829
"blare",5,3.871,264.182272753254
"blared",6,4.234,266.422751243473
"blaring",7,5.403,263.225232154388
"blarney",7,4.263,270.976588281808
"blase",5,5.011,256.625269797219
"blaspheme",9,4.7,277.627404293376
"blasphemed",10,4.304,285.4445453621
"blasphemer",10,4.804,281.834118534404
"blasphemies",11,3.332,297.817098961795
"blasphemous",11,6.098,277.566935450766
"blasphemy",9,7.311,259.773096049456
"blast",5,9.849,226.886542890755
"blasted",7,7.361,250.425851903428
"blasting",8,7.52,253.864687274681
"blasts",6,7.279,246.549817454459
"blatancy",8,0.693,302.053644695985
"blatant",7,8.089,245.827309532643
"blather",7,6.091,258.654917808362
"blaze",5,8.432,235.220735301277
"blazed",6,5.118,260.493855957488
"blazer",6,6.804,249.549358302816
"blazing",7,7.989,246.453939293027
"blazonry",8,1.386,296.771383511103
"bleach",6,7.185,247.140535509438
"bleached",8,5.521,267.11849728693
"bleachers",9,5.501,272.023351037304
"bleaching",9,5.537,271.774157002918
"bleak",5,6.583,246.557840337402
"bleakly",7,1.609,289.918117659075
"bleary",6,4.111,267.258324472981
"bleat",5,4.852,257.666157251492
"bleating",8,5.231,269.097899598522
"bleats",6,3.829,269.183933809057
"bled",4,6.273,244.154758740962
"bleed",5,7.834,238.829136239485
"bleeding",8,8.368,248.442848036727
"bleedings",9,2.303,295.09675459844
"bleeds",6,6.254,253.068130467471
"bleep",5,4.852,257.666157251492
"bleeps",6,3.97,268.219401097039
"blemish",7,5.497,262.596068278704
"blemishes",9,5.666,270.883084831102
"blend",5,8.088,237.289757172195
"blended",7,6.757,254.306348902925
"blender",7,6.879,253.517723570806
"blending",8,6.808,258.508260004462
"blends",6,6.491,251.545816486234
"blent",5,0,291.543156065756
"bless",5,8.276,236.156767604276
"blessed",7,8.657,242.298158911705
"blessing",8,8.849,245.419116794195
"blessings",9,7.636,257.632621517766
"blest",5,3.401,267.362296180033
"blew",4,8.582,230.216290947397
"blight",6,7.586,244.630375567311
"blighted",8,4.443,274.550805058877
"blimey",6,5.05,260.945202709102
"blimp",5,5.759,251.78465579562
"blind",5,9.515,228.823994565671
"blinded",7,7.727,248.103294506532
"blinders",8,5.771,265.423805937073
"blindfold",9,6.413,265.780297896474
"blindfolded",11,6.319,276.009655105186
"blinding",8,6.698,259.233202076766
"blindly",7,7.667,248.482560119511
"blindness",9,7.198,260.521481613522
"blinds",6,6.554,251.142693675975
"blink",5,7.629,240.078827959863
"blinked",7,6.328,257.098996891066
"blinkers",8,4.248,275.917160616556
"blinking",8,7.619,253.22566165886
"blip",4,5.778,247.251020501378
"blips",5,4.635,259.093555749652
"bliss",5,7.704,239.620866921424
"blissful",8,6.047,263.565351050515
"blister",7,6.047,258.944815416876
"blistered",9,4.836,276.66783226724
"blisters",8,6.026,263.706296695524
"blithe",6,5.283,259.401919034652
"blithely",8,5.908,264.499679802947
"blithesome",10,0,318.49918991914
"blitz",5,7.283,242.202913826583
"blitzes",7,3.526,276.108838852817
"blizzard",8,7.651,253.019452117374
"blizzards",9,4.635,278.087198001527
"bloat",5,6.335,248.119441637334
"bloated",7,7.402,250.164597069814
"bloater",7,1.609,289.918117659075
"blob",4,7.065,239.281186976288
"block",5,10.412,223.657777885619
"blockade",8,7.072,256.776659584868
"blockading",10,4.143,286.616918661883
"blockage",8,5.878,264.701767658209
"blockages",9,4.331,280.247747319383
"blockbuster",11,7.241,269.606468835337
"blocked",7,8.507,243.225199646523
"blockhead",9,4.22,281.040808761126
"blockhouse",10,2.485,298.973896464915
"blocking",8,8.397,248.25949329609
"blocks",6,9.576,232.545650486463
"blocky",6,5.73,256.466704105851
"bloke",5,6.787,245.280667488828
"blokes",6,5.252,259.606721045676
"blond",5,8.08,237.338089883529
"blonde",6,8.798,237.197480058064
"blondes",7,6.993,252.783021826272
"blonde's",8,5.598,266.595382446224
"blood",5,10.855,221.149538386232
"bloodbath",9,5.288,273.502431423274
"bloodcurdling",13,2.996,311.19080716613
"blooded",7,5.999,259.261437929178
"bloodhound",10,5.602,276.166241861339
"bloodhounds",11,5.903,278.948301368815
"bloodiest",9,4.82,276.780550730018
"bloodless",9,4.644,278.023488866844
"bloodlust",9,6.271,266.742850160641
"bloodroot",9,2.079,296.784392638954
"bloods",6,5.118,260.493855957488
"bloodshed",9,6.579,264.659463447784
"bloodshot",9,6.061,268.172736347542
"bloodstain",10,2.565,298.365608768068
"bloodstained",12,3.989,298.103239120293
"bloodstains",11,3.434,297.044749227266
"bloodstock",10,2.944,295.500623257147
"bloodstream",11,6.314,276.044790907374
"bloodsucker",11,3.689,295.122626604729
"bloodthirsty",12,5.684,285.513179735798
"bloody",6,9.074,235.536661374763
"bloom",5,8.236,236.397375284846
"bloomed",7,4.804,267.27003988055
"bloomer",7,5.303,263.896210348249
"blooming",8,6.555,260.17866692132
"blooms",6,6.522,251.347373669062
"blossom",7,6.791,254.086321826276
"blossomed",9,5.187,274.206587586279
"blossoms",8,6.497,260.563124392642
"blot",4,6.271,244.167190546237
"blotch",6,4.317,265.860385838466
"blots",5,4.949,257.03064936401
"blotted",7,4.454,269.662157755888
"blotter",7,6.1,258.595660564183
"blotting",8,5.313,268.536723866427
"blotto",6,4.174,266.830021079462
"blouse",6,7.43,245.603852389125
"blouses",7,5.366,263.473295018476
"blow",4,9.736,223.551202572429
"blowback",8,4.094,277.001035130633
"blower",6,6.284,252.87492436925
"blowers",7,5.403,263.225232154388
"blowfish",8,5.984,263.988414144437
"blowfly",7,2.398,284.152764982685
"blowgun",7,3.045,279.510688444993
"blowhard",8,4.543,273.85273666654
"blowhole",8,2.944,285.230661237163
"blowing",7,8.474,243.429624127905
"blown",5,8.659,233.865311457823
"blowout",7,6.624,255.168875016886
"blowpipe",8,2.565,287.996075748671
"blows",5,8.459,235.059106754362
"blowtorch",9,4.787,277.013177614987
"blowup",6,4.691,263.34104290904
"blubber",7,4.942,266.332705271586
"bludgeon",8,5.352,268.270234020644
"blue",4,11.396,214.300630551006
"Bluebeard",9,2.708,292.069768543114
"bluebell",8,3.664,280.050032765458
"blueberries",11,5.328,283.061712330811
"blueberry",9,5.762,270.221857988124
"bluebird",8,5.591,266.642895978075
"bluecoat",8,1.609,295.091331848843
"bluefish",8,3.892,278.429198487803
"bluejacket",10,0,318.49918991914
"bluejay",7,4.419,269.902543940156
"blueprint",9,6.615,264.417015293303
"blueprints",10,6.37,270.81910822922
"blues",5,9.441,229.255484218362
"bluff",5,7.004,243.929366969646
"bluffing",8,5.717,265.788946551098
"bluffs",6,5.561,257.572513426783
"bluing",6,3.761,269.650337493185
"bluish",6,5.46,258.235656609118
"blunder",7,6.5,255.975669671853
"blundered",9,4.419,279.620604625987
"blunderings",11,1.609,311.17144830723
"blunders",8,5.989,263.954812913749
"blunt",5,7.446,241.199929515907
"blunted",7,5.011,265.865271425214
"blunter",7,2.89,280.615823159976
"bluntly",7,6.399,256.634701638922
"bluntness",9,3.892,283.397407760452
"blunts",6,4.205,266.61952065521
"blur",4,7.395,237.279355908297
"blurb",5,7.444,241.212210867995
"blurred",7,6.544,255.68909612391
"blurry",6,6.384,252.231968717094
"blurted",7,5.832,260.366040077043
"blush",5,7.134,243.123400583927
"blushed",7,6.838,253.782480180916
"blushes",7,4.754,267.610467411243
"blushing",8,6.477,260.69582761558
"bluster",7,5.505,262.542591906784
"blustered",9,2.89,290.719624180383
"blustery",8,4.443,274.550805058877
"boa",3,6.659,237.528836418062
"boar",4,6.026,245.694884825446
"board",5,11.285,218.741809978477
"boarded",7,6.646,255.02599986046
"boarder",7,6.04,258.990965438763
"boarding",8,7.349,254.972259407853
"boardinghouse",13,3.807,304.831644626898
"boardinghouses",14,0,341.847743121603
"boardroom",9,4.477,279.208028092624
"boards",6,10.052,229.744642351402
"board's",7,6.286,257.374045739083
"boardwalk",9,6.349,266.213693561398
"boast",5,6.865,244.794086934596
"boasted",7,5.829,260.385926200477
"boaster",7,2.079,286.46981391851
"boastfully",10,1.609,305.716335336789
"boasting",8,5.974,264.055629438584
"boasts",6,6.594,250.887078058649
"boat",4,9.671,223.921437768244
"boaters",7,5.864,260.154015903068
"boathouse",9,5.088,274.898559451795
"boathouses",10,2.485,298.973896464915
"boating",7,6.94,253.124328476802
"boatload",8,4.663,273.01739706283
"boatloads",9,4.043,282.310065453264
"boatman",7,4.078,272.25583575345
"boatmen",7,2.944,280.230313396296
"boats",5,8.633,234.020161329949
"boat's",6,4.382,265.420808132145
"boatsmen",8,0,307.429925334142
"boatyards",9,2.398,294.383916471055
"bob",3,11.066,212.320022842699
"bobbed",6,5.375,258.795070270217
"bobbin",6,5.198,259.963859159919
"bobbing",7,6.153,258.246976503351
"bobbles",7,2.773,281.452914654154
"Bobby",5,8.906,232.399338461731
"bobcat",6,5.366,258.854373209168
"bobolink",8,2.079,291.581497583779
"Bob's",5,7.651,239.944402081718
"bobsled",7,3.951,273.13751605951
"bobsleigh",9,0,312.915615103858
"bobtail",7,5.081,265.391901470107
"bock",4,6.847,240.612863373474
"bod",3,6.637,237.661909005475
"bode",4,6.399,243.372829728544
"bodes",5,4.804,257.981216295687
"bodice",6,5.628,257.133546362268
"bodied",6,5.903,255.339638951336
"bodies",6,9.568,232.593016887486
"bodily",6,7.698,243.933849540748
"body",4,11.663,212.848895123022
"bodybuilder",11,5.342,282.960842863711
"bodybuilders",12,5.375,287.768051879514
"bodybuilding",12,5.943,283.636790788517
"bodyguard",9,8.207,253.914597878007
"body's",6,7.021,248.174540707575
"bodyweight",10,4.852,281.489929181079
"bodywork",8,5.501,267.254539121625
"Boeing",6,7.671,244.101580432731
"bog",3,8.744,225.24949485485
"Bogartian",9,0,312.915615103858
"bogey",5,5.342,254.471859312911
"bogeyed",7,1.386,291.568716517539
"bogeymen",8,3.219,283.240732640691
"bogeys",6,3.638,270.496033299139
"bogged",6,6.535,251.264202310976
"boggle",6,5.142,260.334743563547
"boggled",7,4.248,271.080086746718
"bogies",6,4.22,266.517725235878
"bogus",5,8.503,234.795950016515
"bogy",4,2.197,270.851301292499
"Bohemia",7,5.714,261.149373734723
"bohemian",8,5.638,266.324038923294
"boil",4,8.252,232.158533759934
"boiled",6,7.571,244.723811197681
"boiler",6,6.789,249.644672719708
"boilers",7,5.951,259.578447588894
"boiling",7,8.032,246.184292981988
"boils",5,7.347,241.808607690486
"boisterous",10,5.13,279.504750131831
"bold",4,8.61,230.052244338383
"bolder",6,5.493,258.018798491024
"boldest",7,3.497,276.312762029584
"boldface",8,4.736,272.510479146968
"boldfaced",9,2.708,292.069768543114
"boldly",6,7.14,247.423826812808
"boldness",8,5.398,267.9562525627
"Bolivia",7,7.461,249.789123222919
"Bolivian",8,5.762,265.484627852047
"boll",4,4.934,252.621123704982
"bolo",4,7.44,237.007679655997
"Bologna",7,6.789,254.099259324165
"boloney",7,2.079,286.46981391851
"Bolshevik",9,5.666,270.883084831102
"Bolsheviks",10,5.72,275.337864181274
"Bolshevism",10,4.344,285.154016967239
"bolster",7,6.42,256.497535617452
"bolstered",9,4.779,277.069601449327
"bolstering",10,4.382,284.878288891476
"bolt",4,8.895,228.389120038979
"bolted",6,6.639,250.599821458274
"bolting",7,5.38,263.379405913359
"bolts",5,8.041,237.573852867828
"bomb",4,9.641,224.092522297116
"bombard",7,5.587,261.995086588314
"bombarding",10,5.193,279.056820836373
"bombardment",11,6.365,275.686615487194
"bombast",7,4.844,266.998009684342
"bombastic",9,5.338,273.154508719545
"Bombay",6,7.897,242.701160724681
"bombed",6,7.448,245.491330729349
"bomber",6,7.791,243.356991498015
"bombers",7,7.587,248.989149618301
"bomber's",8,3.611,280.428155227851
"bombing",7,8.447,243.597008310408
"bombings",8,6.554,260.18529069013
"bombproof",9,3.555,285.839252557072
"bombs",5,8.731,233.437030968075
"bombshell",9,5.537,271.774157002918
"bombsight",9,2.708,292.069768543114
"bombsite",8,0,307.429925334142
"bonanza",7,6.455,256.269088478861
"bonbon",6,2.398,279.171313624354
"bond",4,9.469,225.075933065183
"bondage",7,8.379,244.019078604541
"bonded",6,6.79,249.638317292803
"bondholder",10,3.638,290.325568897467
"bonding",7,7.398,250.190073343553
"bonds",5,8.964,232.056436287027
"bondsman",8,2.773,286.475078234674
"bondsman's",10,0,318.49918991914
"bone",4,9.684,223.847341708231
"bonehead",8,6.409,261.147524314993
"boneless",8,5.595,266.615744351642
"bonemeal",8,2.565,287.996075748671
"boner",5,6.18,249.100461039279
"bones",5,8.881,232.547297350684
"bonesetter",10,0,318.49918991914
"boneshaker",10,1.386,307.456878626029
"bonfire",7,5.673,261.42210031947
"bonfires",8,3.892,278.429198487803
"bong",4,7.197,238.478435850154
"bongo",5,6.356,247.986826848915
"bongos",6,4.663,263.528827232674
"bonkers",7,5.999,259.261437929178
"bonnet",6,6.052,254.372900432069
"bonny",5,6.031,250.047161770547
"bonsai",6,7.496,245.191524932911
"bonus",5,9.585,228.416576163658
"bony",4,5.509,248.950070877232
"boo",3,7.339,233.452223584846
"boob",4,6.207,244.565342714539
"booboo",6,3.97,268.219401097039
"booby",5,6.244,248.694925702232
"boogie",6,7.152,247.348250729215
"boohoo",6,3.135,273.982138443614
"book",4,12.16,210.172740926913
"bookable",8,2.639,287.454028403
"bookbinder",10,3.526,291.154561328385
"bookbindery",11,0,324.182396412142
"bookcase",8,5.872,264.742203753829
"bookcases",9,4.554,278.661237568483
"bookclub",8,3.296,282.686044619302
"booked",6,7.479,245.297664255616
"bookend",7,3.367,277.228752829343
"booker",6,6.471,251.673927248807
"bookers",7,3.714,274.790499461523
"bookie",6,4.868,262.157070313199
"bookies",7,4.771,267.494673427448
"booking",7,7.469,249.73825492111
"bookings",8,6.207,262.493950059816
"bookish",7,4.111,272.027203933364
"bookkeeper",10,4.836,281.604612235646
"bookkeeping",11,6.242,276.551242680479
"booklet",7,8.414,243.801745287343
"booklets",8,6.739,258.962759043186
"booklists",9,3.497,286.261627833043
"bookmark",8,7.451,254.311022166766
"bookmobile",10,2.398,299.636817070107
"books",5,11.618,216.895245808122
"book's",6,6.746,249.91810919388
"bookseller",10,5.537,276.623615659631
"bookshelf",9,7.025,261.671419340132
"bookshelves",11,5.434,282.298879997306
"bookshop",8,6.572,260.066088648008
